time_index,week_start
1,2021-06-01
2,2021-06-07
3,2021-06-14
4,2021-06-21
5,2021-06-28
6,2021-07-05
7,2021-07-12
8,2021-07-19
9,2021-07-26
10,2021-08-02
11,2021-08-09
12,2021-08-16
13,2021-08-23
14,2021-08-30
15,2021-09-06
16,2021-09-13
17,2021-09-20
18,2021-09-27
19,2021-10-04
20,2021-10-11
21,2021-10-18
22,2021-10-25
23,2021-11-01
24,2021-11-08
25,2021-11-15
26,2021-11-22
27,2021-11-29
28,2021-12-06
29,2021-12-13
30,2021-12-20
31,2021-12-27
32,2022-01-03
33,2022-01-10
34,2022-01-17
35,2022-01-24
36,2022-01-31
37,2022-02-07
38,2022-02-14
39,2022-02-21
40,2022-02-28
41,2022-03-07
42,2022-03-14
43,2022-03-21
44,2022-03-28
45,2022-04-04
